"subjno"	"study"	"status"	"beep"	"pa"	"na"
1	1	2	1	4.667	1
1	1	2	2	5	1
1	1	2	3	6	1
1	1	2	4	6	1
1	1	2	5	3.333	1
1	1	2	6	2	1.333
1	1	2	7	2	1.333
1	1	2	8	3.667	1
1	1	2	9	4.333	1
1	1	2	10	4	1
1	1	2	11	4.667	1.333
1	1	2	12	4.333	1.333
1	1	2	13	3.333	1
1	1	2	14	2	1.333
1	1	2	15	NA	NA
1	1	2	16	5.333	1
1	1	2	17	5	1
1	1	2	18	5.667	1
1	1	2	19	5.667	1
1	1	2	20	5.333	1
1	1	2	21	5	1.167
1	1	2	22	5	1.167
1	1	2	23	4.333	1.167
1	1	2	24	4.667	1.333
1	1	2	25	4.333	1.333
1	1	2	26	5.333	1.167
1	1	2	27	3.333	1.5
1	1	2	28	4.333	1.167
1	1	2	29	5.667	1
1	1	2	30	6	1
1	1	2	31	6	1
1	1	2	32	5.333	1
1	1	2	33	6	1
1	1	2	34	6.333	1
1	1	2	35	7	1
1	1	2	36	NA	NA
1	1	2	37	6.667	1
1	1	2	38	6.333	1
1	1	2	39	6	1
1	1	2	40	6.667	1
1	1	2	1	NA	NA
1	1	2	2	NA	NA
1	1	2	3	NA	NA
1	1	2	4	5	3.5
1	1	2	5	3	3.5
1	1	2	6	3	2.167
1	1	2	7	NA	NA
1	1	2	8	2.667	2
1	1	2	9	4	3
1	1	2	10	2.667	1.667
1	1	2	11	NA	NA
1	1	2	12	NA	NA
1	1	2	13	NA	NA
1	1	2	14	4	3.333
1	1	2	15	NA	NA
1	1	2	16	4.667	3
1	1	2	17	5.667	3.333
1	1	2	18	4	3
1	1	2	19	5.333	3.5
1	1	2	20	4	2.333
2	1	2	21	NA	NA
2	1	2	22	NA	NA
2	1	2	23	NA	NA
2	1	2	24	4.333	2.667
2	1	2	25	5	3.667
2	1	2	26	5.333	3.667
2	1	2	27	6	3.167
2	1	2	28	4.667	2.5
2	1	2	29	4.333	2.667
2	1	2	30	4.333	3.333
2	1	2	31	NA	NA
2	1	2	32	3.667	2.5
2	1	2	33	5	3.167
2	1	2	34	5.667	3.5
2	1	2	35	5	4.167
2	1	2	36	4.333	2.667
2	1	2	37	5.333	2.5
2	1	2	38	5.333	3.667
2	1	2	39	4.333	3
2	1	2	40	5.667	3.833
2	1	2	1	NA	NA
2	1	2	2	NA	NA
2	1	2	3	3.667	1.167
2	1	2	4	4.667	1.5
2	1	2	5	3.333	1.167
2	1	2	6	4.333	1
2	1	2	7	3.333	1.167
2	1	2	8	4.333	1
2	1	2	9	3.667	1
2	1	2	10	NA	NA
2	1	2	11	NA	NA
2	1	2	12	NA	NA
2	1	2	13	3.333	1
2	1	2	14	3.333	1.167
2	1	2	15	3	1
2	1	2	16	3.667	1
2	1	2	17	3	1
2	1	2	18	2.333	1.333
2	1	2	19	NA	NA
2	1	2	20	2	1
2	1	2	21	NA	NA
2	1	2	22	2.333	1.167
2	1	2	23	1	1
2	1	2	24	1.333	1.333
2	1	2	25	1.333	1.333
2	1	2	26	3.333	1.167
2	1	2	27	3.667	1.167
2	1	2	28	2.667	1
2	1	2	29	NA	NA
2	1	2	30	NA	NA
2	1	2	31	NA	NA
2	1	2	32	NA	NA
2	1	2	33	4.333	1.667
2	1	2	34	4	1
2	1	2	35	4	1
2	1	2	36	NA	NA
2	1	2	37	NA	NA
2	1	2	38	3.333	1
2	1	2	39	4	1
2	1	2	40	NA	NA
3	1	2	1	NA	NA
3	1	2	2	NA	NA
3	1	2	3	5	1
3	1	2	4	5.667	1
3	1	2	5	2.667	2.667
3	1	2	6	6	1
3	1	2	7	4.333	1
3	1	2	8	NA	NA
3	1	2	9	NA	NA
3	1	2	10	5.333	1
3	1	2	11	4.333	1.333
3	1	2	12	NA	NA
3	1	2	13	5	1.333
3	1	2	14	NA	NA
3	1	2	15	5.333	1.5
3	1	2	16	3	1.5
3	1	2	17	NA	NA
3	1	2	18	5.667	1
3	1	2	19	NA	NA
3	1	2	20	4.667	2.333
3	1	2	21	NA	NA
3	1	2	22	NA	NA
3	1	2	23	NA	NA
3	1	2	24	6	1.167
3	1	2	25	NA	NA
3	1	2	26	3.667	1.167
3	1	2	27	5.333	1
3	1	2	28	6	1
3	1	2	29	6	1.667
3	1	2	30	4.667	1.5
3	1	2	31	4.333	1.5
3	1	2	32	4.667	1.5
3	1	2	33	5	1.167
3	1	2	34	4	1
3	1	2	35	NA	NA
3	1	2	36	NA	NA
3	1	2	37	NA	NA
3	1	2	38	5	1
3	1	2	39	4	2
3	1	2	40	4	1.833
3	1	2	1	NA	NA
3	1	2	2	NA	NA
3	1	2	3	NA	NA
3	1	2	4	NA	NA
3	1	2	5	4.667	1.667
3	1	2	6	5	4.333
3	1	2	7	5.667	1
3	1	2	8	3	2
3	1	2	9	NA	NA
3	1	2	10	NA	NA
3	1	2	11	NA	NA
3	1	2	12	NA	NA
3	1	2	13	NA	NA
3	1	2	14	NA	NA
3	1	2	15	NA	NA
3	1	2	16	NA	NA
3	1	2	17	2.667	3.5
3	1	2	18	4	4
3	1	2	19	3.667	1.833
3	1	2	20	5.333	1.667
4	1	2	21	NA	NA
4	1	2	22	3.333	1.167
4	1	2	23	NA	NA
4	1	2	24	NA	NA
4	1	2	25	2.333	2.667
4	1	2	26	1	5
4	1	2	27	2	3.5
4	1	2	28	3.667	2.333
4	1	2	29	4.667	2.167
4	1	2	30	1.667	5.333
4	1	2	31	NA	NA
4	1	2	32	NA	NA
4	1	2	33	NA	NA
4	1	2	34	NA	NA
4	1	2	35	NA	NA
4	1	2	36	1	5.5
4	1	2	37	1	6
4	1	2	38	3	1.5
4	1	2	39	4	1.833
4	1	2	40	NA	NA
4	1	2	1	NA	NA
4	1	2	2	NA	NA
4	1	2	3	5.333	2.167
4	1	2	4	NA	NA
4	1	2	5	NA	NA
4	1	2	6	2.667	1.167
4	1	2	7	5.333	1
4	1	2	8	4.333	1.5
4	1	2	9	5	1
4	1	2	10	NA	NA
4	1	2	11	NA	NA
4	1	2	12	NA	NA
4	1	2	13	NA	NA
4	1	2	14	NA	NA
4	1	2	15	5.333	1
4	1	2	16	5.333	1
4	1	2	17	NA	NA
4	1	2	18	NA	NA
4	1	2	19	3	1
4	1	2	20	NA	NA
4	1	2	21	NA	NA
4	1	2	22	4.667	1
4	1	2	23	5.667	1.167
4	1	2	24	5	1.167
4	1	2	25	3.667	1
4	1	2	26	NA	NA
4	1	2	27	3.333	1
4	1	2	28	NA	NA
4	1	2	29	NA	NA
4	1	2	30	NA	NA
4	1	2	31	NA	NA
4	1	2	32	NA	NA
4	1	2	33	NA	NA
4	1	2	34	NA	NA
4	1	2	35	5	1.167
4	1	2	36	2.667	1
4	1	2	37	4.333	1
4	1	2	38	NA	NA
4	1	2	39	NA	NA
4	1	2	40	2	1
5	1	2	1	5.667	3.333
5	1	2	2	4.667	2.333
5	1	2	3	4.667	2.833
5	1	2	4	NA	NA
5	1	2	5	NA	NA
5	1	2	6	5.667	2.667
5	1	2	7	4.667	3.667
5	1	2	8	4.667	2.333
5	1	2	9	4.333	4.167
5	1	2	10	4.667	3.333
5	1	2	11	5	2.5
5	1	2	12	NA	NA
5	1	2	13	NA	NA
5	1	2	14	3.667	4.167
5	1	2	15	5	3.167
5	1	2	16	5.667	2.667
5	1	2	17	5.333	NA
5	1	2	18	5	3.333
5	1	2	19	4.333	3.667
5	1	2	20	4.333	3.333
5	1	2	21	4.333	2.833
5	1	2	22	4.333	3
5	1	2	23	5	3.333
5	1	2	24	5	2.667
5	1	2	25	4.667	2
5	1	2	26	5	2.333
5	1	2	27	4.667	2.333
5	1	2	28	4	3.333
5	1	2	29	4.667	3
5	1	2	30	4	3
5	1	2	31	5	3
5	1	2	32	4	2.833
5	1	2	33	4.667	2.5
5	1	2	34	5	2.5
5	1	2	35	NA	NA
5	1	2	36	4.333	2.667
5	1	2	37	4.667	2.333
5	1	2	38	4.667	2.167
5	1	2	39	5	2.833
5	1	2	40	4.667	2
5	1	2	1	NA	NA
5	1	2	2	NA	NA
5	1	2	3	NA	NA
5	1	2	4	2.667	3
5	1	2	5	5	2.5
5	1	2	6	2.667	1.667
5	1	2	7	4.667	1.167
5	1	2	8	3.667	2.167
5	1	2	9	3.667	2
5	1	2	10	2.333	1.833
5	1	2	11	NA	NA
5	1	2	12	NA	NA
5	1	2	13	NA	NA
5	1	2	14	NA	NA
5	1	2	15	4.667	2
5	1	2	16	3.333	2.167
5	1	2	17	4	2.667
5	1	2	18	2.667	2
5	1	2	19	2.333	2.333
5	1	2	20	5.333	1
6	1	2	21	NA	NA
6	1	2	22	NA	NA
6	1	2	23	NA	NA
6	1	2	24	NA	NA
6	1	2	25	NA	NA
6	1	2	26	3.667	2.667
6	1	2	27	2.667	3.333
6	1	2	28	2.333	3
6	1	2	29	2.333	2.333
6	1	2	30	1.333	1.333
6	1	2	31	NA	NA
6	1	2	32	NA	NA
6	1	2	33	2.333	2.667
6	1	2	34	NA	NA
6	1	2	35	4	2.167
6	1	2	36	3	2.5
6	1	2	37	2.333	2
6	1	2	38	2	1.833
6	1	2	39	NA	NA
6	1	2	40	NA	NA
6	1	2	1	NA	NA
6	1	2	2	4	NA
6	1	2	3	4	1.167
6	1	2	4	4.333	1.5
6	1	2	5	4.667	1.5
6	1	2	6	3.667	1.333
6	1	2	7	3.333	1.333
6	1	2	8	4.333	1
6	1	2	9	5	1
6	1	2	10	3.333	1.5
6	1	2	11	4.333	1.5
6	1	2	12	NA	NA
6	1	2	13	3.333	1.5
6	1	2	14	NA	NA
6	1	2	15	3.667	1.5
6	1	2	16	NA	NA
6	1	2	17	4.333	1
6	1	2	18	NA	NA
6	1	2	19	5.333	1
6	1	2	20	4	1
6	1	2	21	NA	NA
6	1	2	22	NA	NA
6	1	2	23	4.667	1
6	1	2	24	4.333	1.167
6	1	2	25	3.333	1.5
6	1	2	26	4.333	1.167
6	1	2	27	5	1
6	1	2	28	3.333	2
6	1	2	29	4.333	1
6	1	2	30	4.333	1
6	1	2	31	NA	NA
6	1	2	32	NA	NA
6	1	2	33	3.667	1.167
6	1	2	34	3.667	1.333
6	1	2	35	3	1.833
6	1	2	36	3	1.167
6	1	2	37	2.333	1.5
6	1	2	38	3	1.167
6	1	2	39	NA	NA
6	1	2	40	3.667	1
7	1	2	1	NA	NA
7	1	2	2	3	1
7	1	2	3	2	NA
7	1	2	4	NA	NA
7	1	2	5	NA	NA
7	1	2	6	3	1
7	1	2	7	3	1
7	1	2	8	3	1
7	1	2	9	3	1
7	1	2	10	NA	1.5
7	1	2	11	3	1
7	1	2	12	3	1
7	1	2	13	NA	NA
7	1	2	14	NA	NA
7	1	2	15	NA	NA
7	1	2	16	NA	NA
7	1	2	17	3	1
7	1	2	18	NA	NA
7	1	2	19	3	1
7	1	2	20	3	1
7	1	2	21	NA	NA
7	1	2	22	NA	NA
7	1	2	23	NA	NA
7	1	2	24	3	1
7	1	2	25	3	1
7	1	2	26	3.333	1
7	1	2	27	3	1
7	1	2	28	NA	1.667
7	1	2	29	3	1
7	1	2	30	3	1
7	1	2	31	3	1
7	1	2	32	3.333	1
7	1	2	33	3	1
7	1	2	34	3	1
7	1	2	35	2	1
7	1	2	36	3	1
7	1	2	37	3	1
7	1	2	38	3	1
7	1	2	39	NA	NA
7	1	2	40	3	1
7	1	2	1	NA	NA
7	1	2	2	NA	NA
7	1	2	3	4.667	1.833
7	1	2	4	NA	NA
7	1	2	5	3.333	3.5
7	1	2	6	4	3.833
7	1	2	7	1.333	5.333
7	1	2	8	1.333	5.167
7	1	2	9	1.333	5
7	1	2	10	NA	NA
7	1	2	11	NA	NA
7	1	2	12	NA	NA
7	1	2	13	4.333	3.167
7	1	2	14	1.333	4.5
7	1	2	15	4.667	2
7	1	2	16	1	5.333
7	1	2	17	NA	NA
7	1	2	18	1	5.5
7	1	2	19	NA	NA
7	1	2	20	2.333	3.333
8	1	2	21	NA	NA
8	1	2	22	NA	NA
8	1	2	23	NA	NA
8	1	2	24	NA	NA
8	1	2	25	NA	NA
8	1	2	26	NA	NA
8	1	2	27	NA	NA
8	1	2	28	NA	NA
8	1	2	29	NA	NA
8	1	2	30	NA	NA
8	1	2	31	NA	NA
8	1	2	32	4.333	2.833
8	1	2	33	5	1.5
8	1	2	34	NA	NA
8	1	2	35	3.667	3
8	1	2	36	NA	NA
8	1	2	37	5.667	2
8	1	2	38	NA	NA
8	1	2	39	NA	NA
8	1	2	40	NA	NA
8	1	2	1	3.333	4.5
8	1	2	2	6.333	1
8	1	2	3	4.667	2.833
8	1	2	4	4	1.833
8	1	2	5	2.333	3.5
8	1	2	6	1.333	4.167
8	1	2	7	6.667	NA
8	1	2	8	6.667	1
8	1	2	9	6	1.167
8	1	2	10	6	1
8	1	2	11	5.667	1
8	1	2	12	5	1
8	1	2	13	5.333	1
8	1	2	14	3.333	2.167
8	1	2	15	2.333	3.5
8	1	2	16	4.333	1.5
8	1	2	17	5.333	2
8	1	2	18	6	1
8	1	2	19	6.333	1
8	1	2	20	5.667	2.333
8	1	2	21	5.667	1
8	1	2	22	5.667	1.833
8	1	2	23	6.333	1
8	1	2	24	5.333	1
8	1	2	25	NA	NA
8	1	2	26	NA	NA
8	1	2	27	5.667	1
8	1	2	28	5.667	1
8	1	2	29	5.667	1
8	1	2	30	5.333	1
8	1	2	31	5.667	1
8	1	2	32	5.667	1
8	1	2	33	6	1
8	1	2	34	5	1.5
8	1	2	35	NA	NA
8	1	2	36	6	1
8	1	2	37	5	1
8	1	2	38	5.667	1
8	1	2	39	4.667	1
8	1	2	40	4.333	1.333
9	2	0	1	NA	NA
9	2	0	2	NA	NA
9	2	0	3	NA	NA
9	2	0	4	NA	NA
9	2	0	5	NA	NA
9	2	0	6	NA	NA
9	2	0	7	NA	NA
9	2	0	8	NA	NA
9	2	0	9	NA	NA
9	2	0	10	NA	NA
9	2	0	11	NA	NA
9	2	0	12	NA	NA
9	2	0	13	NA	NA
9	2	0	14	NA	NA
9	2	0	15	NA	NA
9	2	0	16	NA	NA
9	2	0	17	NA	NA
9	2	0	18	NA	NA
9	2	0	19	NA	NA
9	2	0	20	NA	NA
9	2	0	21	NA	NA
9	2	0	22	NA	NA
9	2	0	23	NA	NA
9	2	0	24	NA	NA
9	2	0	25	NA	NA
9	2	0	26	NA	NA
9	2	0	27	NA	NA
9	2	0	28	NA	NA
9	2	0	29	NA	NA
9	2	0	30	NA	NA
9	2	0	31	NA	NA
9	2	0	32	NA	NA
9	2	0	33	NA	NA
9	2	0	34	NA	NA
9	2	0	35	NA	NA
9	2	0	36	NA	NA
9	2	0	37	NA	NA
9	2	0	38	NA	NA
9	2	0	39	NA	NA
9	2	0	40	NA	NA
9	2	0	41	NA	NA
9	2	0	42	NA	NA
9	2	0	43	NA	NA
9	2	0	44	NA	NA
9	2	0	45	NA	NA
9	2	0	46	NA	NA
9	2	0	47	NA	NA
9	2	0	48	NA	NA
9	2	0	49	NA	NA
9	2	0	50	NA	NA
9	2	0	51	NA	NA
9	2	0	52	NA	NA
9	2	0	53	NA	NA
9	2	0	54	NA	NA
9	2	0	55	NA	NA
9	2	0	56	NA	NA
9	2	0	57	NA	NA
9	2	0	58	NA	NA
9	2	0	59	NA	NA
9	2	0	60	NA	NA
10	2	0	1	NA	NA
10	2	0	2	NA	NA
10	2	0	3	NA	NA
10	2	0	4	NA	NA
10	2	0	5	NA	NA
10	2	0	6	NA	NA
10	2	0	7	NA	NA
10	2	0	8	NA	NA
10	2	0	9	NA	NA
10	2	0	10	NA	NA
10	2	0	11	NA	NA
10	2	0	12	NA	NA
10	2	0	13	NA	NA
10	2	0	14	NA	NA
10	2	0	15	NA	NA
10	2	0	16	NA	NA
10	2	0	17	NA	NA
10	2	0	18	NA	NA
10	2	0	19	NA	NA
10	2	0	20	NA	NA
10	2	0	21	NA	NA
10	2	0	22	NA	NA
10	2	0	23	NA	NA
10	2	0	24	NA	NA
10	2	0	25	NA	NA
10	2	0	26	NA	NA
10	2	0	27	NA	NA
10	2	0	28	NA	NA
10	2	0	29	NA	NA
10	2	0	30	NA	NA
10	2	0	31	NA	NA
10	2	0	32	NA	NA
10	2	0	33	NA	NA
10	2	0	34	NA	NA
10	2	0	35	NA	NA
10	2	0	36	NA	NA
10	2	0	37	NA	NA
10	2	0	38	NA	NA
10	2	0	39	NA	NA
10	2	0	40	NA	NA
10	2	0	41	NA	NA
10	2	0	42	NA	NA
10	2	0	43	NA	NA
10	2	0	44	NA	NA
10	2	0	45	NA	NA
10	2	0	46	NA	NA
10	2	0	47	NA	NA
10	2	0	48	NA	NA
10	2	0	49	NA	NA
10	2	0	50	NA	NA
10	2	0	51	NA	NA
10	2	0	52	NA	NA
10	2	0	53	NA	NA
10	2	0	54	NA	NA
10	2	0	55	NA	NA
10	2	0	56	NA	NA
10	2	0	57	NA	NA
10	2	0	58	NA	NA
10	2	0	59	NA	NA
10	2	0	60	NA	NA
11	2	0	1	NA	NA
11	2	0	2	NA	NA
11	2	0	3	NA	NA
11	2	0	4	NA	NA
11	2	0	5	NA	NA
11	2	0	6	NA	NA
11	2	0	7	NA	NA
11	2	0	8	NA	NA
11	2	0	9	NA	NA
11	2	0	10	NA	NA
11	2	0	11	NA	NA
11	2	0	12	NA	NA
11	2	0	13	NA	NA
11	2	0	14	NA	NA
11	2	0	15	NA	NA
11	2	0	16	NA	NA
11	2	0	17	NA	NA
11	2	0	18	NA	NA
11	2	0	19	NA	NA
11	2	0	20	NA	NA
11	2	0	21	NA	NA
11	2	0	22	NA	NA
11	2	0	23	NA	NA
11	2	0	24	NA	NA
11	2	0	25	NA	NA
11	2	0	26	NA	NA
11	2	0	27	NA	NA
11	2	0	28	NA	NA
11	2	0	29	NA	NA
11	2	0	30	NA	NA
11	2	0	31	NA	NA
11	2	0	32	NA	NA
11	2	0	33	NA	NA
11	2	0	34	NA	NA
11	2	0	35	NA	NA
11	2	0	36	NA	NA
11	2	0	37	NA	NA
11	2	0	38	NA	NA
11	2	0	39	NA	NA
11	2	0	40	NA	NA
11	2	0	41	NA	NA
11	2	0	42	NA	NA
11	2	0	43	NA	NA
11	2	0	44	NA	NA
11	2	0	45	NA	NA
11	2	0	46	NA	NA
11	2	0	47	NA	NA
11	2	0	48	NA	NA
11	2	0	49	NA	NA
11	2	0	50	NA	NA
11	2	0	51	NA	NA
11	2	0	52	NA	NA
11	2	0	53	NA	NA
11	2	0	54	NA	NA
11	2	0	55	NA	NA
11	2	0	56	NA	NA
11	2	0	57	NA	NA
11	2	0	58	NA	NA
11	2	0	59	NA	NA
11	2	0	60	NA	NA
12	2	0	1	NA	NA
12	2	0	2	NA	NA
12	2	0	3	NA	NA
12	2	0	4	NA	NA
12	2	0	5	NA	NA
12	2	0	6	NA	NA
12	2	0	7	NA	NA
12	2	0	8	NA	NA
12	2	0	9	NA	NA
12	2	0	10	NA	NA
12	2	0	11	NA	NA
12	2	0	12	NA	NA
12	2	0	13	NA	NA
12	2	0	14	NA	NA
12	2	0	15	NA	NA
12	2	0	16	NA	NA
12	2	0	17	NA	NA
12	2	0	18	NA	NA
12	2	0	19	NA	NA
12	2	0	20	NA	NA
12	2	0	21	NA	NA
12	2	0	22	NA	NA
12	2	0	23	NA	NA
12	2	0	24	NA	NA
12	2	0	25	NA	NA
12	2	0	26	NA	NA
12	2	0	27	NA	NA
12	2	0	28	NA	NA
12	2	0	29	NA	NA
12	2	0	30	NA	NA
12	2	0	31	NA	NA
12	2	0	32	NA	NA
12	2	0	33	NA	NA
12	2	0	34	NA	NA
12	2	0	35	NA	NA
12	2	0	36	NA	NA
12	2	0	37	NA	NA
12	2	0	38	NA	NA
12	2	0	39	NA	NA
12	2	0	40	NA	NA
12	2	0	41	NA	NA
12	2	0	42	NA	NA
12	2	0	43	NA	NA
12	2	0	44	NA	NA
12	2	0	45	NA	NA
12	2	0	46	NA	NA
12	2	0	47	NA	NA
12	2	0	48	NA	NA
12	2	0	49	NA	NA
12	2	0	50	NA	NA
12	2	0	51	NA	NA
12	2	0	52	NA	NA
12	2	0	53	NA	NA
12	2	0	54	NA	NA
12	2	0	55	NA	NA
12	2	0	56	NA	NA
12	2	0	57	NA	NA
12	2	0	58	NA	NA
12	2	0	59	NA	NA
12	2	0	60	NA	NA
13	2	0	1	NA	NA
13	2	0	2	NA	NA
13	2	0	3	NA	NA
13	2	0	4	NA	NA
13	2	0	5	NA	NA
13	2	0	6	NA	NA
13	2	0	7	NA	NA
13	2	0	8	NA	NA
13	2	0	9	NA	NA
13	2	0	10	NA	NA
13	2	0	11	NA	NA
13	2	0	12	NA	NA
13	2	0	13	NA	NA
13	2	0	14	NA	NA
13	2	0	15	NA	NA
13	2	0	16	NA	NA
13	2	0	17	NA	NA
13	2	0	18	NA	NA
13	2	0	19	NA	NA
13	2	0	20	NA	NA
13	2	0	21	NA	NA
13	2	0	22	NA	NA
13	2	0	23	NA	NA
13	2	0	24	NA	NA
13	2	0	25	NA	NA
13	2	0	26	NA	NA
13	2	0	27	NA	NA
13	2	0	28	NA	NA
13	2	0	29	NA	NA
13	2	0	30	NA	NA
13	2	0	31	NA	NA
13	2	0	32	NA	NA
13	2	0	33	NA	NA
13	2	0	34	NA	NA
13	2	0	35	NA	NA
13	2	0	36	NA	NA
13	2	0	37	NA	NA
13	2	0	38	NA	NA
13	2	0	39	NA	NA
13	2	0	40	NA	NA
13	2	0	41	NA	NA
13	2	0	42	NA	NA
13	2	0	43	NA	NA
13	2	0	44	NA	NA
13	2	0	45	NA	NA
13	2	0	46	NA	NA
13	2	0	47	NA	NA
13	2	0	48	NA	NA
13	2	0	49	NA	NA
13	2	0	50	NA	NA
13	2	0	51	NA	NA
13	2	0	52	NA	NA
13	2	0	53	NA	NA
13	2	0	54	NA	NA
13	2	0	55	NA	NA
13	2	0	56	NA	NA
13	2	0	57	NA	NA
13	2	0	58	NA	NA
13	2	0	59	NA	NA
13	2	0	60	NA	NA
14	2	0	1	NA	NA
14	2	0	2	NA	NA
14	2	0	3	NA	NA
14	2	0	4	NA	NA
14	2	0	5	NA	NA
14	2	0	6	NA	NA
14	2	0	7	NA	NA
14	2	0	8	NA	NA
14	2	0	9	NA	NA
14	2	0	10	NA	NA
14	2	0	11	NA	NA
14	2	0	12	NA	NA
14	2	0	13	NA	NA
14	2	0	14	NA	NA
14	2	0	15	NA	NA
14	2	0	16	NA	NA
14	2	0	17	NA	NA
14	2	0	18	NA	NA
14	2	0	19	NA	NA
14	2	0	20	NA	NA
14	2	0	21	NA	NA
14	2	0	22	NA	NA
14	2	0	23	NA	NA
14	2	0	24	NA	NA
14	2	0	25	NA	NA
14	2	0	26	NA	NA
14	2	0	27	NA	NA
14	2	0	28	NA	NA
14	2	0	29	NA	NA
14	2	0	30	NA	NA
14	2	0	31	NA	NA
14	2	0	32	NA	NA
14	2	0	33	NA	NA
14	2	0	34	NA	NA
14	2	0	35	NA	NA
14	2	0	36	NA	NA
14	2	0	37	NA	NA
14	2	0	38	NA	NA
14	2	0	39	NA	NA
14	2	0	40	NA	NA
14	2	0	41	NA	NA
14	2	0	42	NA	NA
14	2	0	43	NA	NA
14	2	0	44	NA	NA
14	2	0	45	NA	NA
14	2	0	46	NA	NA
14	2	0	47	NA	NA
14	2	0	48	NA	NA
14	2	0	49	NA	NA
14	2	0	50	NA	NA
14	2	0	51	NA	NA
14	2	0	52	NA	NA
14	2	0	53	NA	NA
14	2	0	54	NA	NA
14	2	0	55	NA	NA
14	2	0	56	NA	NA
14	2	0	57	NA	NA
14	2	0	58	NA	NA
14	2	0	59	NA	NA
14	2	0	60	NA	NA
15	2	0	1	NA	NA
15	2	0	2	NA	NA
15	2	0	3	NA	NA
15	2	0	4	NA	NA
15	2	0	5	NA	NA
15	2	0	6	NA	NA
15	2	0	7	NA	NA
15	2	0	8	NA	NA
15	2	0	9	NA	NA
15	2	0	10	NA	NA
15	2	0	11	NA	NA
15	2	0	12	NA	NA
15	2	0	13	NA	NA
15	2	0	14	NA	NA
15	2	0	15	NA	NA
15	2	0	16	NA	NA
15	2	0	17	NA	NA
15	2	0	18	NA	NA
15	2	0	19	NA	NA
15	2	0	20	NA	NA
15	2	0	21	NA	NA
15	2	0	22	NA	NA
15	2	0	23	NA	NA
15	2	0	24	NA	NA
15	2	0	25	NA	NA
15	2	0	26	NA	NA
15	2	0	27	NA	NA
15	2	0	28	NA	NA
15	2	0	29	NA	NA
15	2	0	30	NA	NA
15	2	0	31	NA	NA
15	2	0	32	NA	NA
15	2	0	33	NA	NA
15	2	0	34	NA	NA
15	2	0	35	NA	NA
15	2	0	36	NA	NA
15	2	0	37	NA	NA
15	2	0	38	NA	NA
15	2	0	39	NA	NA
15	2	0	40	NA	NA
15	2	0	41	NA	NA
15	2	0	42	NA	NA
15	2	0	43	NA	NA
15	2	0	44	NA	NA
15	2	0	45	NA	NA
15	2	0	46	NA	NA
15	2	0	47	NA	NA
15	2	0	48	NA	NA
15	2	0	49	NA	NA
15	2	0	50	NA	NA
15	2	0	51	NA	NA
15	2	0	52	NA	NA
15	2	0	53	NA	NA
15	2	0	54	NA	NA
15	2	0	55	NA	NA
15	2	0	56	NA	NA
15	2	0	57	NA	NA
15	2	0	58	NA	NA
15	2	0	59	NA	NA
15	2	0	60	NA	NA
16	2	0	1	NA	NA
16	2	0	2	NA	NA
16	2	0	3	NA	NA
16	2	0	4	NA	NA
16	2	0	5	NA	NA
16	2	0	6	NA	NA
16	2	0	7	NA	NA
16	2	0	8	NA	NA
16	2	0	9	NA	NA
16	2	0	10	NA	NA
16	2	0	11	NA	NA
16	2	0	12	NA	NA
16	2	0	13	NA	NA
16	2	0	14	NA	NA
16	2	0	15	NA	NA
16	2	0	16	NA	NA
16	2	0	17	NA	NA
16	2	0	18	NA	NA
16	2	0	19	NA	NA
16	2	0	20	NA	NA
16	2	0	21	NA	NA
16	2	0	22	NA	NA
16	2	0	23	NA	NA
16	2	0	24	NA	NA
16	2	0	25	NA	NA
16	2	0	26	NA	NA
16	2	0	27	NA	NA
16	2	0	28	NA	NA
16	2	0	29	NA	NA
16	2	0	30	NA	NA
16	2	0	31	NA	NA
16	2	0	32	NA	NA
16	2	0	33	NA	NA
16	2	0	34	NA	NA
16	2	0	35	NA	NA
16	2	0	36	NA	NA
16	2	0	37	NA	NA
16	2	0	38	NA	NA
16	2	0	39	NA	NA
16	2	0	40	NA	NA
16	2	0	41	NA	NA
16	2	0	42	NA	NA
16	2	0	43	NA	NA
16	2	0	44	NA	NA
16	2	0	45	NA	NA
16	2	0	46	NA	NA
16	2	0	47	NA	NA
16	2	0	48	NA	NA
16	2	0	49	NA	NA
16	2	0	50	NA	NA
16	2	0	51	NA	NA
16	2	0	52	NA	NA
16	2	0	53	NA	NA
16	2	0	54	NA	NA
16	2	0	55	NA	NA
16	2	0	56	NA	NA
16	2	0	57	NA	NA
16	2	0	58	NA	NA
16	2	0	59	NA	NA
16	2	0	60	NA	NA
17	2	0	1	NA	NA
17	2	0	2	NA	NA
17	2	0	3	NA	NA
17	2	0	4	NA	NA
17	2	0	5	NA	NA
17	2	0	6	NA	NA
17	2	0	7	NA	NA
17	2	0	8	NA	NA
17	2	0	9	NA	NA
17	2	0	10	NA	NA
17	2	0	11	NA	NA
17	2	0	12	NA	NA
17	2	0	13	NA	NA
17	2	0	14	NA	NA
17	2	0	15	NA	NA
17	2	0	16	NA	NA
17	2	0	17	NA	NA
17	2	0	18	NA	NA
17	2	0	19	NA	NA
17	2	0	20	NA	NA
17	2	0	21	NA	NA
17	2	0	22	NA	NA
17	2	0	23	NA	NA
17	2	0	24	NA	NA
17	2	0	25	NA	NA
17	2	0	26	NA	NA
17	2	0	27	NA	NA
17	2	0	28	NA	NA
17	2	0	29	NA	NA
17	2	0	30	NA	NA
